date,year,month,day,day_of_week,week_of_year,quarter,is_weekend,is_holiday,days_to_nearest_holiday,season,is_flu_season,flu_activity_index,is_allergy_season,baidu_flu_index,is_vbp_period,days_since_vbp1,days_since_vbp2
2020-02-12,2020,2,12,2,7,1,0,0,19,winter,1,1.75,0,2142,0,-1,-1
2020-02-13,2020,2,13,3,7,1,0,0,20,winter,1,1.66,0,1441,0,-1,-1
2020-02-14,2020,2,14,4,7,1,0,0,21,winter,1,1.13,0,1436,0,-1,-1
2020-02-15,2020,2,15,5,7,1,1,0,22,winter,1,1.48,0,1317,0,-1,-1
2020-02-16,2020,2,16,6,7,1,1,0,23,winter,1,1.59,0,1926,0,-1,-1
2020-02-17,2020,2,17,0,8,1,0,0,24,winter,1,2.28,0,2302,0,-1,-1
2020-02-18,2020,2,18,1,8,1,0,0,25,winter,1,1.95,0,2148,0,-1,-1
2020-02-19,2020,2,19,2,8,1,0,0,26,winter,1,1.01,0,1133,0,-1,-1
2020-02-20,2020,2,20,3,8,1,0,0,27,winter,1,1.95,0,2313,0,-1,-1
2020-02-21,2020,2,21,4,8,1,0,0,28,winter,1,1.63,0,2010,0,-1,-1
2020-02-22,2020,2,22,5,8,1,1,0,29,winter,1,1.5,0,1813,0,-1,-1
2020-02-23,2020,2,23,6,8,1,1,0,30,winter,1,2.08,0,2134,0,-1,-1
2020-02-24,2020,2,24,0,9,1,0,0,31,winter,1,2.26,0,2427,0,-1,-1
2020-02-25,2020,2,25,1,9,1,0,0,32,winter,1,2.22,0,2134,0,-1,-1
2020-02-26,2020,2,26,2,9,1,0,0,33,winter,1,1.42,0,1809,0,-1,-1
2020-02-27,2020,2,27,3,9,1,0,0,34,winter,1,1.66,0,2159,0,-1,-1
2020-02-28,2020,2,28,4,9,1,0,0,35,winter,1,1.95,0,3913,0,-1,-1
2020-02-29,2020,2,29,5,9,1,1,0,35,winter,1,2.24,0,2145,0,-1,-1
2020-03-01,2020,3,1,6,9,1,1,0,34,spring,1,0.78,1,1200,0,-1,-1
2020-03-02,2020,3,2,0,10,1,0,0,33,spring,1,0.86,1,926,0,-1,-1
2020-03-03,2020,3,3,1,10,1,0,0,32,spring,1,0.63,1,1122,0,-1,-1
2020-03-04,2020,3,4,2,10,1,0,0,31,spring,1,0.61,1,1080,0,-1,-1
2020-03-05,2020,3,5,3,10,1,0,0,30,spring,1,1.1,1,1002,0,-1,-1
2020-03-06,2020,3,6,4,10,1,0,0,29,spring,1,1.23,1,1248,0,-1,-1
2020-03-07,2020,3,7,5,10,1,1,0,28,spring,1,0.88,1,1150,0,-1,-1
2020-03-08,2020,3,8,6,10,1,1,0,27,spring,1,1.14,1,1353,0,-1,-1
2020-03-09,2020,3,9,0,11,1,0,0,26,spring,1,0.99,1,1048,0,-1,-1
2020-03-10,2020,3,10,1,11,1,0,0,25,spring,1,0.75,1,1174,0,-1,-1
2020-03-11,2020,3,11,2,11,1,0,0,24,spring,1,0.99,1,1340,0,-1,-1
2020-03-12,2020,3,12,3,11,1,0,0,23,spring,1,1.27,1,1476,0,-1,-1
2020-03-13,2020,3,13,4,11,1,0,0,22,spring,1,0.89,1,1062,0,-1,-1
2020-03-14,2020,3,14,5,11,1,1,0,21,spring,1,1.28,1,1730,0,-1,-1
2020-03-15,2020,3,15,6,11,1,1,0,20,spring,1,0.27,1,1048,0,-1,-1
2020-03-16,2020,3,16,0,12,1,0,0,19,spring,1,1.1,1,1281,0,-1,-1
2020-03-17,2020,3,17,1,12,1,0,0,18,spring,1,0.92,1,1114,0,-1,-1
2020-03-18,2020,3,18,2,12,1,0,0,17,spring,1,0.83,1,1261,0,-1,-1
2020-03-19,2020,3,19,3,12,1,0,0,16,spring,1,0.92,1,1166,0,-1,-1
2020-03-20,2020,3,20,4,12,1,0,0,15,spring,1,0.42,1,811,0,-1,-1
2020-03-21,2020,3,21,5,12,1,1,0,14,spring,1,0.85,1,1326,0,-1,-1
2020-03-22,2020,3,22,6,12,1,1,0,13,spring,1,0.99,1,907,0,-1,-1
2020-03-23,2020,3,23,0,13,1,0,0,12,spring,1,1.25,1,1767,0,-1,-1
2020-03-24,2020,3,24,1,13,1,0,0,11,spring,1,0.78,1,1135,0,-1,-1
2020-03-25,2020,3,25,2,13,1,0,0,10,spring,1,0.71,1,982,0,-1,-1
2020-03-26,2020,3,26,3,13,1,0,0,9,spring,1,0.78,1,1106,0,-1,-1
2020-03-27,2020,3,27,4,13,1,0,0,8,spring,1,1.12,1,1388,0,-1,-1
2020-03-28,2020,3,28,5,13,1,1,0,7,spring,1,0.98,1,937,0,-1,-1
2020-03-29,2020,3,29,6,13,1,1,0,6,spring,1,0.77,1,1417,0,-1,-1
2020-03-30,2020,3,30,0,14,1,0,0,5,spring,1,1.02,1,1327,0,-1,-1
2020-03-31,2020,3,31,1,14,1,0,0,4,spring,1,0.92,1,1327,0,-1,-1
2020-04-01,2020,4,1,2,14,2,0,0,3,spring,0,0.24,1,880,0,-1,-1
2020-04-02,2020,4,2,3,14,2,0,0,2,spring,0,0.09,1,365,0,-1,-1
2020-04-03,2020,4,3,4,14,2,0,0,1,spring,0,0.12,1,691,0,-1,-1
2020-04-04,2020,4,4,5,14,2,1,1,0,spring,0,0.11,1,538,0,-1,-1
2020-04-05,2020,4,5,6,14,2,1,0,1,spring,0,0.02,1,684,0,-1,-1
2020-04-06,2020,4,6,0,15,2,0,0,2,spring,0,0.18,1,216,0,-1,-1
2020-04-07,2020,4,7,1,15,2,0,0,3,spring,0,0.17,1,619,0,-1,-1
2020-04-08,2020,4,8,2,15,2,0,0,4,spring,0,0.15,1,500,0,-1,-1
2020-04-09,2020,4,9,3,15,2,0,0,5,spring,0,0.13,1,690,0,-1,-1
2020-04-10,2020,4,10,4,15,2,0,0,6,spring,0,0.02,1,612,0,-1,-1
2020-04-11,2020,4,11,5,15,2,1,0,7,spring,0,0.11,1,448,0,-1,-1
2020-04-12,2020,4,12,6,15,2,1,0,8,spring,0,0.12,1,453,0,-1,-1
2020-04-13,2020,4,13,0,16,2,0,0,9,spring,0,0.08,1,540,0,-1,-1
2020-04-14,2020,4,14,1,16,2,0,0,10,spring,0,0.14,1,429,0,-1,-1
2020-04-15,2020,4,15,2,16,2,0,0,11,spring,0,0.19,1,817,0,-1,-1
2020-04-16,2020,4,16,3,16,2,0,0,12,spring,0,0.32,1,682,0,-1,-1
2020-04-17,2020,4,17,4,16,2,0,0,13,spring,0,0.17,1,100,0,-1,-1
2020-04-18,2020,4,18,5,16,2,1,0,13,spring,0,0.17,1,564,0,-1,-1
2020-04-19,2020,4,19,6,16,2,1,0,12,spring,0,0.14,1,407,0,-1,-1
2020-04-20,2020,4,20,0,17,2,0,0,11,spring,0,0.0,1,174,0,-1,-1
2020-04-21,2020,4,21,1,17,2,0,0,10,spring,0,0.15,1,371,0,-1,-1
2020-04-22,2020,4,22,2,17,2,0,0,9,spring,0,0.16,1,646,0,-1,-1
2020-04-23,2020,4,23,3,17,2,0,0,8,spring,0,0.37,1,3702,0,-1,-1
2020-04-24,2020,4,24,4,17,2,0,0,7,spring,0,0.13,1,669,0,-1,-1
2020-04-25,2020,4,25,5,17,2,1,0,6,spring,0,0.18,1,520,0,-1,-1
2020-04-26,2020,4,26,6,17,2,1,0,5,spring,0,0.15,1,709,0,-1,-1
2020-04-27,2020,4,27,0,18,2,0,0,4,spring,0,0.04,1,444,0,-1,-1
2020-04-28,2020,4,28,1,18,2,0,0,3,spring,0,0.25,1,563,0,-1,-1
2020-04-29,2020,4,29,2,18,2,0,0,2,spring,0,0.22,1,443,0,-1,-1
2020-04-30,2020,4,30,3,18,2,0,0,1,spring,0,0.22,1,327,0,-1,-1
2020-05-01,2020,5,1,4,18,2,0,1,0,spring,0,0.07,1,477,0,-1,-1
2020-05-02,2020,5,2,5,18,2,1,0,1,spring,0,0.28,1,753,0,-1,-1
2020-05-03,2020,5,3,6,18,2,1,0,2,spring,0,0.02,1,500,0,-1,-1
2020-05-04,2020,5,4,0,19,2,0,0,3,spring,0,0.2,1,579,0,-1,-1
2020-05-05,2020,5,5,1,19,2,0,0,4,spring,0,0.35,1,589,0,-1,-1
2020-05-06,2020,5,6,2,19,2,0,0,5,spring,0,0.06,1,670,0,-1,-1
2020-05-07,2020,5,7,3,19,2,0,0,6,spring,0,0.1,1,316,0,-1,-1
2020-05-08,2020,5,8,4,19,2,0,0,7,spring,0,0.16,1,782,0,-1,-1
2020-05-09,2020,5,9,5,19,2,1,0,8,spring,0,0.1,1,383,0,-1,-1
2020-05-10,2020,5,10,6,19,2,1,0,9,spring,0,0.01,1,358,0,-1,-1
2020-05-11,2020,5,11,0,20,2,0,0,10,spring,0,0.16,1,332,0,-1,-1
2020-05-12,2020,5,12,1,20,2,0,0,11,spring,0,0.05,1,443,0,-1,-1
2020-05-13,2020,5,13,2,20,2,0,0,12,spring,0,0.19,1,849,0,-1,-1
2020-05-14,2020,5,14,3,20,2,0,0,13,spring,0,0.07,1,657,0,-1,-1
2020-05-15,2020,5,15,4,20,2,0,0,14,spring,0,0.29,1,927,0,-1,-1
2020-05-16,2020,5,16,5,20,2,1,0,15,spring,0,0.08,1,668,0,-1,-1
2020-05-17,2020,5,17,6,20,2,1,0,16,spring,0,0.12,1,376,0,-1,-1
2020-05-18,2020,5,18,0,21,2,0,0,17,spring,0,0.22,1,612,0,-1,-1
2020-05-19,2020,5,19,1,21,2,0,0,18,spring,0,0.04,1,375,0,-1,-1
2020-05-20,2020,5,20,2,21,2,0,0,19,spring,0,0.17,1,902,0,-1,-1
2020-05-21,2020,5,21,3,21,2,0,0,20,spring,0,0.27,1,475,0,-1,-1
2020-05-22,2020,5,22,4,21,2,0,0,21,spring,0,0.01,1,683,0,-1,-1
2020-05-23,2020,5,23,5,21,2,1,0,22,spring,0,0.17,1,812,0,-1,-1
2020-05-24,2020,5,24,6,21,2,1,0,23,spring,0,0.17,1,1005,0,-1,-1
2020-05-25,2020,5,25,0,22,2,0,0,24,spring,0,0.22,1,594,0,-1,-1
2020-05-26,2020,5,26,1,22,2,0,0,25,spring,0,0.04,1,673,0,-1,-1
2020-05-27,2020,5,27,2,22,2,0,0,26,spring,0,0.03,1,981,0,-1,-1
2020-05-28,2020,5,28,3,22,2,0,0,27,spring,0,0.2,1,534,0,-1,-1
2020-05-29,2020,5,29,4,22,2,0,0,27,spring,0,0.18,1,334,0,-1,-1
2020-05-30,2020,5,30,5,22,2,1,0,26,spring,0,0.17,1,262,0,-1,-1
2020-05-31,2020,5,31,6,22,2,1,0,25,spring,0,0.18,1,787,0,-1,-1
2020-06-01,2020,6,1,0,23,2,0,0,24,summer,0,0.09,0,194,0,-1,-1
2020-06-02,2020,6,2,1,23,2,0,0,23,summer,0,0.17,0,562,0,-1,-1
2020-06-03,2020,6,3,2,23,2,0,0,22,summer,0,0.18,0,729,0,-1,-1
2020-06-04,2020,6,4,3,23,2,0,0,21,summer,0,0.09,0,606,0,-1,-1
2020-06-05,2020,6,5,4,23,2,0,0,20,summer,0,0.32,0,839,0,-1,-1
2020-06-06,2020,6,6,5,23,2,1,0,19,summer,0,0.19,0,699,0,-1,-1
2020-06-07,2020,6,7,6,23,2,1,0,18,summer,0,0.04,0,790,0,-1,-1
2020-06-08,2020,6,8,0,24,2,0,0,17,summer,0,0.21,0,477,0,-1,-1
2020-06-09,2020,6,9,1,24,2,0,0,16,summer,0,0.06,0,414,0,-1,-1
2020-06-10,2020,6,10,2,24,2,0,0,15,summer,0,0.22,0,522,0,-1,-1
2020-06-11,2020,6,11,3,24,2,0,0,14,summer,0,0.25,0,869,0,-1,-1
2020-06-12,2020,6,12,4,24,2,0,0,13,summer,0,0.08,0,741,0,-1,-1
2020-06-13,2020,6,13,5,24,2,1,0,12,summer,0,0.24,0,780,0,-1,-1
2020-06-14,2020,6,14,6,24,2,1,0,11,summer,0,0.19,0,886,0,-1,-1
2020-06-15,2020,6,15,0,25,2,0,0,10,summer,0,0.22,0,1926,0,-1,-1
2020-06-16,2020,6,16,1,25,2,0,0,9,summer,0,0.32,0,1090,0,-1,-1
2020-06-17,2020,6,17,2,25,2,0,0,8,summer,0,0.13,0,907,0,-1,-1
2020-06-18,2020,6,18,3,25,2,0,0,7,summer,0,0.08,0,713,0,-1,-1
2020-06-19,2020,6,19,4,25,2,0,0,6,summer,0,0.07,0,912,0,-1,-1
2020-06-20,2020,6,20,5,25,2,1,0,5,summer,0,0.08,0,230,0,-1,-1
2020-06-21,2020,6,21,6,25,2,1,0,4,summer,0,0.14,0,510,0,-1,-1
2020-06-22,2020,6,22,0,26,2,0,0,3,summer,0,0.18,0,498,0,-1,-1
2020-06-23,2020,6,23,1,26,2,0,0,2,summer,0,0.17,0,784,0,-1,-1
2020-06-24,2020,6,24,2,26,2,0,0,1,summer,0,0.22,0,470,0,-1,-1
2020-06-25,2020,6,25,3,26,2,0,1,0,summer,0,0.15,0,772,0,-1,-1
2020-06-26,2020,6,26,4,26,2,0,0,1,summer,0,0.28,0,999,0,-1,-1
2020-06-27,2020,6,27,5,26,2,1,0,2,summer,0,0.13,0,740,0,-1,-1
2020-06-28,2020,6,28,6,26,2,1,0,3,summer,0,0.39,0,873,0,-1,-1
2020-06-29,2020,6,29,0,27,2,0,0,4,summer,0,0.21,0,467,0,-1,-1
2020-06-30,2020,6,30,1,27,2,0,0,5,summer,0,0.07,0,389,0,-1,-1
2020-07-01,2020,7,1,2,27,3,0,0,6,summer,0,0.05,0,793,0,-1,-1
2020-07-02,2020,7,2,3,27,3,0,0,7,summer,0,0.19,0,811,0,-1,-1
2020-07-03,2020,7,3,4,27,3,0,0,8,summer,0,0.13,0,596,0,-1,-1
2020-07-04,2020,7,4,5,27,3,1,0,9,summer,0,0.21,0,588,0,-1,-1
2020-07-05,2020,7,5,6,27,3,1,0,10,summer,0,0.19,0,249,0,-1,-1
2020-07-06,2020,7,6,0,28,3,0,0,11,summer,0,0.14,0,401,0,-1,-1
2020-07-07,2020,7,7,1,28,3,0,0,12,summer,0,0.07,0,941,0,-1,-1
2020-07-08,2020,7,8,2,28,3,0,0,13,summer,0,0.01,0,255,0,-1,-1
2020-07-09,2020,7,9,3,28,3,0,0,14,summer,0,0.11,0,626,0,-1,-1
2020-07-10,2020,7,10,4,28,3,0,0,15,summer,0,0.23,0,883,0,-1,-1
2020-07-11,2020,7,11,5,28,3,1,0,16,summer,0,0.17,0,384,0,-1,-1
2020-07-12,2020,7,12,6,28,3,1,0,17,summer,0,0.04,0,567,0,-1,-1
2020-07-13,2020,7,13,0,29,3,0,0,18,summer,0,0.17,0,820,0,-1,-1
2020-07-14,2020,7,14,1,29,3,0,0,19,summer,0,0.18,0,650,0,-1,-1
2020-07-15,2020,7,15,2,29,3,0,0,20,summer,0,0.07,0,1130,0,-1,-1
2020-07-16,2020,7,16,3,29,3,0,0,21,summer,0,0.16,0,297,0,-1,-1
2020-07-17,2020,7,17,4,29,3,0,0,22,summer,0,0.16,0,836,0,-1,-1
2020-07-18,2020,7,18,5,29,3,1,0,23,summer,0,0.05,0,503,0,-1,-1
2020-07-19,2020,7,19,6,29,3,1,0,24,summer,0,0.18,0,800,0,-1,-1
2020-07-20,2020,7,20,0,30,3,0,0,25,summer,0,0.2,0,749,0,-1,-1
2020-07-21,2020,7,21,1,30,3,0,0,26,summer,0,0.25,0,551,0,-1,-1
2020-07-22,2020,7,22,2,30,3,0,0,27,summer,0,0.24,0,742,0,-1,-1
2020-07-23,2020,7,23,3,30,3,0,0,28,summer,0,0.03,0,149,0,-1,-1
2020-07-24,2020,7,24,4,30,3,0,0,29,summer,0,0.07,0,673,0,-1,-1
2020-07-25,2020,7,25,5,30,3,1,0,30,summer,0,0.2,0,717,0,-1,-1
2020-07-26,2020,7,26,6,30,3,1,0,31,summer,0,0.2,0,785,0,-1,-1
2020-07-27,2020,7,27,0,31,3,0,0,32,summer,0,0.2,0,869,0,-1,-1
2020-07-28,2020,7,28,1,31,3,0,0,33,summer,0,0.5,0,971,0,-1,-1
2020-07-29,2020,7,29,2,31,3,0,0,34,summer,0,0.2,0,691,0,-1,-1
2020-07-30,2020,7,30,3,31,3,0,0,35,summer,0,0.25,0,526,0,-1,-1
2020-07-31,2020,7,31,4,31,3,0,0,36,summer,0,0.24,0,546,0,-1,-1
2020-08-01,2020,8,1,5,31,3,1,0,37,summer,0,0.21,0,904,0,-1,-1
2020-08-02,2020,8,2,6,31,3,1,0,38,summer,0,0.12,0,885,0,-1,-1
2020-08-03,2020,8,3,0,32,3,0,0,39,summer,0,0.22,0,627,0,-1,-1
2020-08-04,2020,8,4,1,32,3,0,0,40,summer,0,0.08,0,574,0,-1,-1
2020-08-05,2020,8,5,2,32,3,0,0,41,summer,0,0.13,0,422,0,-1,-1
2020-08-06,2020,8,6,3,32,3,0,0,42,summer,0,0.11,0,820,0,-1,-1
2020-08-07,2020,8,7,4,32,3,0,0,43,summer,0,0.16,0,759,0,-1,-1
2020-08-08,2020,8,8,5,32,3,1,0,44,summer,0,0.36,0,1175,0,-1,-1
2020-08-09,2020,8,9,6,32,3,1,0,45,summer,0,0.0,0,324,0,-1,-1
2020-08-10,2020,8,10,0,33,3,0,0,46,summer,0,0.21,0,594,0,-1,-1
2020-08-11,2020,8,11,1,33,3,0,0,47,summer,0,0.0,0,550,0,-1,-1
2020-08-12,2020,8,12,2,33,3,0,0,48,summer,0,0.11,0,715,0,-1,-1
2020-08-13,2020,8,13,3,33,3,0,0,49,summer,0,0.25,0,655,0,-1,-1
2020-08-14,2020,8,14,4,33,3,0,0,48,summer,0,0.16,0,450,0,-1,-1
2020-08-15,2020,8,15,5,33,3,1,0,47,summer,0,0.05,0,719,0,-1,-1
2020-08-16,2020,8,16,6,33,3,1,0,46,summer,0,0.09,0,713,0,-1,-1
2020-08-17,2020,8,17,0,34,3,0,0,45,summer,0,0.21,0,486,0,-1,-1
2020-08-18,2020,8,18,1,34,3,0,0,44,summer,0,0.08,0,839,0,-1,-1
2020-08-19,2020,8,19,2,34,3,0,0,43,summer,0,0.17,0,870,0,-1,-1
2020-08-20,2020,8,20,3,34,3,0,0,42,summer,0,0.15,0,650,0,-1,-1
2020-08-21,2020,8,21,4,34,3,0,0,41,summer,0,0.09,0,589,0,-1,-1
2020-08-22,2020,8,22,5,34,3,1,0,40,summer,0,0.34,0,885,0,-1,-1
2020-08-23,2020,8,23,6,34,3,1,0,39,summer,0,0.21,0,493,0,-1,-1
2020-08-24,2020,8,24,0,35,3,0,0,38,summer,0,0.0,0,506,0,-1,-1
2020-08-25,2020,8,25,1,35,3,0,0,37,summer,0,0.17,0,203,0,-1,-1
2020-08-26,2020,8,26,2,35,3,0,0,36,summer,0,0.09,0,748,0,-1,-1
2020-08-27,2020,8,27,3,35,3,0,0,35,summer,0,0.23,0,369,0,-1,-1
2020-08-28,2020,8,28,4,35,3,0,0,34,summer,0,0.08,0,864,0,-1,-1
2020-08-29,2020,8,29,5,35,3,1,0,33,summer,0,0.14,0,546,0,-1,-1
2020-08-30,2020,8,30,6,35,3,1,0,32,summer,0,0.2,0,614,0,-1,-1
2020-08-31,2020,8,31,0,36,3,0,0,31,summer,0,0.23,0,2865,0,-1,-1
2020-09-01,2020,9,1,1,36,3,0,0,30,autumn,0,0.04,0,476,0,-1,-1
2020-09-02,2020,9,2,2,36,3,0,0,29,autumn,0,0.12,0,880,0,-1,-1
2020-09-03,2020,9,3,3,36,3,0,0,28,autumn,0,0.11,0,100,0,-1,-1
2020-09-04,2020,9,4,4,36,3,0,0,27,autumn,0,0.09,0,828,0,-1,-1
2020-09-05,2020,9,5,5,36,3,1,0,26,autumn,0,0.31,0,815,0,-1,-1
2020-09-06,2020,9,6,6,36,3,1,0,25,autumn,0,0.19,0,408,0,-1,-1
2020-09-07,2020,9,7,0,37,3,0,0,24,autumn,0,0.04,0,314,0,-1,-1
2020-09-08,2020,9,8,1,37,3,0,0,23,autumn,0,0.23,0,1021,0,-1,-1
2020-09-09,2020,9,9,2,37,3,0,0,22,autumn,0,0.34,0,584,0,-1,-1
2020-09-10,2020,9,10,3,37,3,0,0,21,autumn,0,0.24,0,464,0,-1,-1
2020-09-11,2020,9,11,4,37,3,0,0,20,autumn,0,0.01,0,738,0,-1,-1
2020-09-12,2020,9,12,5,37,3,1,0,19,autumn,0,0.11,0,653,0,-1,-1
2020-09-13,2020,9,13,6,37,3,1,0,18,autumn,0,0.26,0,524,0,-1,-1
2020-09-14,2020,9,14,0,38,3,0,0,17,autumn,0,0.09,0,2015,0,-1,-1
2020-09-15,2020,9,15,1,38,3,0,0,16,autumn,0,0.19,0,447,0,-1,-1
2020-09-16,2020,9,16,2,38,3,0,0,15,autumn,0,0.22,0,896,0,-1,-1
2020-09-17,2020,9,17,3,38,3,0,0,14,autumn,0,0.07,0,766,0,-1,-1
2020-09-18,2020,9,18,4,38,3,0,0,13,autumn,0,0.14,0,722,0,-1,-1
2020-09-19,2020,9,19,5,38,3,1,0,12,autumn,0,0.0,0,572,0,-1,-1
2020-09-20,2020,9,20,6,38,3,1,0,11,autumn,0,0.06,0,898,0,-1,-1
2020-09-21,2020,9,21,0,39,3,0,0,10,autumn,0,0.13,0,602,0,-1,-1
2020-09-22,2020,9,22,1,39,3,0,0,9,autumn,0,0.04,0,294,0,-1,-1
2020-09-23,2020,9,23,2,39,3,0,0,8,autumn,0,0.3,0,827,0,-1,-1
2020-09-24,2020,9,24,3,39,3,0,0,7,autumn,0,0.02,0,934,0,-1,-1
2020-09-25,2020,9,25,4,39,3,0,0,6,autumn,0,0.11,0,385,0,-1,-1
2020-09-26,2020,9,26,5,39,3,1,0,5,autumn,0,0.16,0,557,0,-1,-1
2020-09-27,2020,9,27,6,39,3,1,0,4,autumn,0,0.28,0,807,0,-1,-1
2020-09-28,2020,9,28,0,40,3,0,0,3,autumn,0,0.02,0,506,0,-1,-1
2020-09-29,2020,9,29,1,40,3,0,0,2,autumn,0,0.25,0,507,0,-1,-1
2020-09-30,2020,9,30,2,40,3,0,0,1,autumn,0,0.15,0,845,0,-1,-1
2020-10-01,2020,10,1,3,40,4,0,1,0,autumn,0,0.06,0,1013,0,-1,-1
2020-10-02,2020,10,2,4,40,4,0,0,1,autumn,0,0.19,0,692,0,-1,-1
2020-10-03,2020,10,3,5,40,4,1,0,2,autumn,0,0.17,0,454,0,-1,-1
2020-10-04,2020,10,4,6,40,4,1,0,3,autumn,0,0.1,0,267,0,-1,-1
2020-10-05,2020,10,5,0,41,4,0,0,4,autumn,0,0.16,0,677,0,-1,-1
2020-10-06,2020,10,6,1,41,4,0,0,5,autumn,0,0.12,0,813,0,-1,-1
2020-10-07,2020,10,7,2,41,4,0,0,6,autumn,0,0.16,0,723,0,-1,-1
2020-10-08,2020,10,8,3,41,4,0,0,7,autumn,0,0.21,0,667,0,-1,-1
2020-10-09,2020,10,9,4,41,4,0,0,8,autumn,0,0.29,0,616,0,-1,-1
2020-10-10,2020,10,10,5,41,4,1,0,9,autumn,0,0.04,0,312,0,-1,-1
2020-10-11,2020,10,11,6,41,4,1,0,10,autumn,0,0.34,0,941,0,-1,-1
2020-10-12,2020,10,12,0,42,4,0,0,11,autumn,0,0.0,0,683,0,-1,-1
2020-10-13,2020,10,13,1,42,4,0,0,12,autumn,0,0.14,0,300,0,-1,-1
2020-10-14,2020,10,14,2,42,4,0,0,13,autumn,0,0.2,0,980,0,-1,-1
2020-10-15,2020,10,15,3,42,4,0,0,14,autumn,0,0.18,0,755,0,-1,-1
2020-10-16,2020,10,16,4,42,4,0,0,15,autumn,0,0.09,0,855,0,-1,-1
