sku_id,channel,nonzero_ratio,croston_forecast,sba_forecast,rmse_croston,rmse_sba,mae_croston,mae_sba,mape_croston,mape_sba
SKU-0025,chain,1.0,7.0409,6.6889,1.7177,1.7945,1.2597,1.2792,18.27,17.64
SKU-0025,independent,1.0,6.8252,6.4839,1.6824,1.7691,1.2462,1.3031,20.13,19.95
SKU-0027,total,1.0,9.5864,9.1071,3.3141,3.4433,2.3189,2.1517,22.17,19.32
SKU-0027,hospital,1.0,3.6007,3.4207,1.2703,1.3006,0.9828,0.92,25.87,22.83
SKU-0027,chain,1.0,3.6876,3.5032,1.3975,1.4673,0.9976,1.0476,23.8,23.97
SKU-0027,independent,0.994,2.2981,2.1832,0.7469,0.77,0.5531,0.505,20.29,17.2
SKU-0028,total,1.0,18.7411,17.8041,7.4716,7.5994,6.1699,5.8042,33.03,29.43
SKU-0028,hospital,1.0,8.0692,7.6658,3.2138,3.3079,2.454,2.3072,28.35,25.11
SKU-0028,chain,1.0,5.5272,5.2508,2.3073,2.3894,1.6783,1.5798,27.59,24.43
SKU-0028,independent,1.0,5.1447,4.8875,2.2225,2.172,2.0589,1.9599,55.06,50.39
SKU-0029,total,1.0,61.1479,58.0905,14.7987,14.965,12.4596,11.2801,22.0,18.97
SKU-0029,hospital,1.0,15.9911,15.1915,3.8899,3.9236,3.2717,2.9618,22.37,19.31
SKU-0029,chain,1.0,30.3611,28.8431,7.433,7.5044,6.2746,5.6937,22.47,19.43
SKU-0029,independent,1.0,14.7957,14.0559,3.5133,3.5745,2.9166,2.6356,20.91,17.97
SKU-0030,total,1.0,18.223,17.3118,8.2254,8.4403,6.3104,5.9637,30.39,26.97
SKU-0030,hospital,1.0,6.6582,6.3252,3.0549,3.1688,2.1086,1.986,26.46,23.29
SKU-0030,chain,1.0,7.6804,7.2963,3.4805,3.5504,2.797,2.6556,33.33,29.82
SKU-0030,independent,1.0,3.8845,3.6902,1.7563,1.785,1.4403,1.3628,34.84,31.1
SKU-0031,total,1.0,36.7914,34.9518,10.8549,11.4156,8.2612,7.6767,20.2,17.6
SKU-0031,hospital,1.0,15.2044,14.4442,4.3079,4.4926,3.4221,3.1741,21.22,18.53
SKU-0031,chain,1.0,14.4135,13.6928,4.4232,4.6901,3.1586,3.039,18.82,17.07
SKU-0031,independent,1.0,7.1734,6.8148,2.2119,2.313,1.6903,1.6461,21.55,19.88
SKU-0034,total,1.0,14.6388,13.9068,5.9633,6.179,4.2876,4.0593,24.57,21.79
SKU-0034,hospital,1.0,5.313,5.0473,2.2696,2.3439,1.6416,1.551,27.91,24.81
SKU-0034,chain,1.0,5.502,5.2269,2.2062,2.3046,1.4968,1.403,21.06,18.3
SKU-0034,independent,1.0,3.8238,3.6326,1.5664,1.6071,1.2214,1.1925,29.25,27.03
SKU-0035,total,1.0,9.5146,9.0389,4.8935,5.121,2.9676,2.822,20.37,17.82
SKU-0035,hospital,1.0,3.2123,3.0516,1.8419,1.9179,1.1328,1.0836,22.33,19.69
SKU-0035,chain,1.0,3.1757,3.0169,1.6574,1.7338,1.0152,0.9647,20.8,18.17
SKU-0035,independent,1.0,3.1266,2.9703,1.4238,1.4974,0.833,0.812,17.98,16.46
SKU-0036,total,1.0,49.9436,47.4464,25.4477,26.1573,19.8395,18.9589,33.73,30.28
SKU-0036,hospital,1.0,22.2374,21.1255,11.2663,11.5711,8.8488,8.4561,34.5,31.01
SKU-0036,chain,1.0,17.1295,16.273,8.7893,9.0309,6.8617,6.5612,34.23,30.76
SKU-0036,independent,1.0,10.5767,10.0479,5.4213,5.5835,4.1381,3.9475,31.96,28.56
SKU-0039,total,1.0,22.7698,21.6314,8.7152,8.4082,8.2886,7.8016,49.9,45.27
SKU-0039,hospital,1.0,9.3922,8.9226,3.5754,3.4152,3.4246,3.2231,51.39,46.67
SKU-0039,chain,1.0,9.5802,9.1012,3.8037,3.6549,3.6372,3.4311,53.53,48.71
SKU-0039,independent,0.99,3.7974,3.6075,1.4465,1.452,1.2283,1.1481,32.24,28.54
SKU-0040,total,1.0,13.8648,13.1715,4.1881,4.4084,3.0504,2.951,20.71,18.96
SKU-0040,hospital,1.0,4.699,4.4641,1.3984,1.4558,1.1002,1.0666,23.81,21.91
SKU-0040,chain,1.0,5.5385,5.2616,1.7152,1.8014,1.2923,1.2526,22.18,20.35
SKU-0040,independent,1.0,3.6272,3.4459,1.1999,1.2689,0.9381,0.9711,23.81,23.53
SKU-0041,total,1.0,21.4577,20.3848,8.1089,8.2712,6.5262,6.1034,29.76,26.31
SKU-0041,hospital,1.0,6.1673,5.8589,2.1493,2.1819,1.7606,1.6382,31.06,27.53
SKU-0041,chain,1.0,10.1517,9.6441,3.8898,3.9858,3.0193,2.828,29.33,25.98
SKU-0041,independent,1.0,5.1387,4.8818,2.1161,2.148,1.7463,1.643,31.82,28.23
SKU-0042,total,1.0,19.4529,18.4802,6.8699,7.141,5.1964,4.9414,24.04,21.53
SKU-0042,hospital,1.0,6.7898,6.4503,2.3905,2.4908,1.7761,1.7024,23.48,21.22
SKU-0042,chain,1.0,8.1063,7.701,2.9677,3.0979,2.1433,2.1205,23.07,21.65
SKU-0042,independent,1.0,4.5568,4.3289,1.6097,1.6456,1.3008,1.2292,29.22,26.19
SKU-0043,total,1.0,24.9569,23.7091,9.09,9.5809,6.1975,5.8404,20.36,17.92
SKU-0043,hospital,1.0,11.2638,10.7006,4.072,4.2717,2.89,2.7517,21.89,19.58
SKU-0043,chain,1.0,7.846,7.4537,2.6765,2.8051,1.9336,1.8089,21.81,19.13
SKU-0043,independent,1.0,5.8471,5.5547,2.4301,2.5813,1.5209,1.709,18.74,21.02
SKU-0044,total,1.0,7.8055,7.4152,3.8848,4.0192,2.7258,2.6305,27.69,25.08
SKU-0044,hospital,1.0,2.3636,2.2454,0.8627,0.8886,0.6575,0.6126,24.17,21.06
SKU-0044,chain,1.0,3.736,3.5492,1.6744,1.7188,1.2689,1.2233,29.89,27.18
SKU-0044,independent,0.99,1.7059,1.6206,1.4796,1.5231,1.0756,1.1205,41.35,41.99
SKU-0045,total,1.0,38.4615,36.5384,14.9718,15.5652,11.2243,10.6224,24.92,22.11
SKU-0045,hospital,1.0,14.373,13.6543,5.5943,5.8093,4.2353,4.011,25.23,22.41
SKU-0045,chain,1.0,16.7166,15.8807,6.3636,6.6049,4.8335,4.5715,25.52,22.68
SKU-0045,independent,1.0,7.3719,7.0033,3.074,3.2071,2.1714,2.0399,23.89,20.91
SKU-0046,total,1.0,24.5305,23.304,9.7211,10.0372,7.1086,6.646,25.83,22.66
SKU-0046,hospital,1.0,6.1994,5.8895,2.6024,2.6826,1.9029,1.817,26.54,23.85
SKU-0046,chain,1.0,9.6295,9.148,3.5827,3.6655,2.8033,2.598,28.14,24.6
SKU-0046,independent,1.0,8.7016,8.2665,3.6071,3.7535,2.4413,2.2794,24.12,21.05
SKU-0047,total,1.0,39.7859,37.7966,17.2808,17.8546,13.4693,12.8514,29.87,26.83
SKU-0047,hospital,1.0,15.9343,15.1376,6.6899,6.8901,5.3638,5.0982,30.75,27.54
SKU-0047,chain,1.0,16.3956,15.5758,7.414,7.6684,5.6823,5.4304,29.96,26.93
SKU-0047,independent,1.0,7.456,7.0832,3.2199,3.3361,2.4494,2.3323,28.54,25.55
SKU-0048,total,1.0,57.6478,54.7654,25.8766,26.4125,21.5061,20.3905,35.42,31.71
SKU-0048,hospital,1.0,18.8892,17.9447,8.3191,8.4752,6.9969,6.6246,35.95,32.18
SKU-0048,chain,1.0,25.902,24.6069,11.462,11.675,9.657,9.1526,36.08,32.33
SKU-0048,independent,1.0,12.8566,12.2138,6.135,6.2975,4.8561,4.6194,33.6,30.08
SKU-0049,total,1.0,28.9195,27.4735,11.6024,12.1425,8.7391,8.412,25.31,22.92
SKU-0049,hospital,1.0,9.2869,8.8225,3.7068,3.8769,2.7891,2.7147,25.55,23.49
SKU-0049,chain,1.0,11.9643,11.3661,4.6702,4.8744,3.5916,3.4386,26.07,23.49
SKU-0049,independent,1.0,7.6683,7.2849,3.2771,3.4389,2.3898,2.323,24.83,22.72
SKU-0050,total,1.0,5.0955,4.8407,2.2054,2.3209,1.2409,1.3381,18.22,19.29
SKU-0050,hospital,0.992,1.3114,1.2458,0.68,0.691,0.5308,0.5051,34.24,30.59
SKU-0050,chain,0.992,2.417,2.2962,0.888,0.9047,0.6788,0.6315,24.21,21.07
SKU-0050,independent,0.998,1.3671,1.2987,0.9677,1.0218,0.8409,0.8936,37.46,39.46
SKU-0051,total,1.0,14.6288,13.8974,5.2672,5.5137,3.7585,3.5288,22.01,19.34
SKU-0051,hospital,1.0,5.716,5.4302,2.2879,2.3898,1.6682,1.5918,23.42,20.91
SKU-0051,chain,1.0,5.5398,5.2628,1.8167,1.9069,1.2828,1.1894,22.48,19.67
SKU-0051,independent,1.0,3.373,3.2044,1.227,1.2777,0.8544,0.7897,21.5,18.5
SKU-0052,total,1.0,3.6819,3.4978,1.1601,1.1488,0.9158,0.8245,26.89,23.07
SKU-0052,hospital,0.986,1.416,1.3452,0.6645,0.659,0.563,0.5278,40.59,36.11
SKU-0052,chain,0.986,1.2637,1.2005,0.5025,0.4962,0.3882,0.3453,28.82,24.01
SKU-0052,independent,0.998,1.0023,0.9521,0.1077,0.1211,0.0138,0.0593,0.71,5.25
SKU-0053,total,1.0,43.7692,41.5807,20.0602,20.2887,18.1948,17.5247,44.27,40.53
SKU-0053,hospital,1.0,12.3633,11.7451,5.6674,5.7607,5.0395,4.8503,40.93,37.35
SKU-0053,chain,1.0,16.6063,15.7759,7.6974,7.7811,6.986,6.7318,45.64,41.82
SKU-0053,independent,1.0,14.7996,14.0596,6.724,6.7749,6.1693,5.9427,46.02,42.19
SKU-0054,total,1.0,38.4436,36.5215,16.0637,16.2692,13.8746,13.0997,36.71,32.86
SKU-0054,hospital,1.0,9.9395,9.4425,4.313,4.4009,3.5555,3.3744,35.18,31.6
SKU-0054,chain,1.0,18.1245,17.2183,7.8153,7.9337,6.6529,6.2876,36.77,32.92
SKU-0054,independent,1.0,10.3796,9.8606,4.0272,4.0182,3.67,3.4593,39.2,35.21
SKU-0055,total,1.0,20.2884,19.2739,8.4817,8.1019,8.1266,7.6857,59.56,54.41
SKU-0055,hospital,1.0,5.4174,5.1465,2.4241,2.317,2.3217,2.201,67.12,61.54
SKU-0055,chain,1.0,8.6851,8.2508,3.7894,3.6346,3.6416,3.4548,62.61,57.33
SKU-0055,independent,1.0,6.1859,5.8766,2.2925,2.1755,2.1746,2.0336,50.79,45.98
SKU-0057,total,0.986,1.3852,1.316,0.9964,1.007,0.6893,0.6608,40.18,36.15
SKU-0057,hospital,0.295,0.2322,0.2206,0.4759,0.4777,0.3958,0.391,77.01,78.16
SKU-0057,chain,0.295,0.3025,0.2873,0.6218,0.6234,0.4886,0.4824,73.14,74.48
SKU-0057,independent,0.822,0.9552,0.9075,0.4282,0.4178,0.2245,0.2553,5.49,10.22
SKU-0058,total,1.0,5.013,4.7623,1.8282,1.8775,1.2085,1.2264,22.6,21.83
SKU-0058,hospital,0.994,1.3943,1.3245,0.7714,0.8004,0.6564,0.6637,37.59,36.26
SKU-0058,chain,0.994,2.2903,2.1758,0.6545,0.6618,0.4822,0.4143,18.75,14.86
SKU-0058,independent,0.996,1.3284,1.262,0.599,0.5985,0.4754,0.4396,34.35,29.94
SKU-0059,total,1.0,21.7697,20.6812,6.549,6.5441,5.5871,5.1215,28.15,24.6
SKU-0059,hospital,1.0,9.0898,8.6353,2.742,2.7692,2.2359,2.0468,26.58,23.17
SKU-0059,chain,1.0,7.9566,7.5588,2.5761,2.6109,2.0733,1.9284,27.1,23.92
SKU-0059,independent,1.0,4.7233,4.4871,1.4544,1.3844,1.3007,1.1917,37.23,33.06
SKU-0060,total,1.0,16.6044,15.7742,7.2081,6.9472,6.8431,6.4765,60.23,55.01
SKU-0060,hospital,1.0,6.9268,6.5805,3.211,3.1052,3.048,2.899,67.55,62.02
SKU-0060,chain,1.0,4.9487,4.7013,2.1226,2.0476,2.0051,1.8986,57.96,52.91
SKU-0060,independent,1.0,4.7289,4.4924,1.8977,1.8178,1.793,1.6885,53.53,48.64
SKU-0063,total,1.0,22.2353,21.1235,10.4221,10.4994,8.9181,8.4475,41.46,37.27
SKU-0063,hospital,1.0,8.7751,8.3364,4.3893,4.4135,3.781,3.5956,45.58,41.19
SKU-0063,chain,1.0,8.3842,7.965,3.8306,3.8459,3.3382,3.1596,42.03,37.8
SKU-0063,independent,1.0,5.0759,4.8221,2.2386,2.2775,1.8001,1.6957,34.67,30.88
SKU-0064,total,1.0,37.3774,35.5085,11.1539,11.1806,9.9572,9.3438,29.54,26.42
SKU-0064,hospital,1.0,15.4658,14.6925,4.6233,4.6366,4.1281,3.874,29.77,26.64
SKU-0064,chain,1.0,14.1454,13.4381,4.206,4.2205,3.7282,3.4956,29.26,26.15
SKU-0064,independent,1.0,7.7662,7.3779,2.4038,2.4028,2.1088,1.9868,30.75,27.64
SKU-0065,total,1.0,52.6922,50.0576,20.1465,20.5943,16.545,15.5146,30.65,27.16
SKU-0065,hospital,1.0,22.0428,20.9407,8.4297,8.6145,6.9297,6.4988,31.03,27.52
SKU-0065,chain,1.0,15.5816,14.8025,5.9532,6.0779,4.9043,4.5994,30.82,27.33
SKU-0065,independent,1.0,15.0678,14.3144,5.7906,5.9283,4.712,4.421,30.22,26.78
SKU-0066,total,1.0,4.9363,4.6895,2.1069,2.0975,1.6943,1.591,39.47,35.4
SKU-0066,hospital,0.99,1.8675,1.7742,0.8112,0.8279,0.5796,0.6234,34.13,34.84
SKU-0066,chain,0.99,1.6153,1.5345,0.8198,0.8066,0.7188,0.685,53.13,48.41
SKU-0066,independent,1.0,1.4535,1.3809,0.6344,0.6236,0.5557,0.5185,42.83,38.13
SKU-0067,total,1.0,41.4605,39.3875,18.8397,19.6606,12.6863,11.9873,22.51,19.69
SKU-0067,hospital,1.0,10.4085,9.8881,4.777,4.9878,3.1823,3.0641,22.23,20.01
SKU-0067,chain,1.0,19.643,18.6608,8.9462,9.3432,5.9649,5.6337,22.18,19.38
SKU-0067,independent,1.0,11.409,10.8386,5.1412,5.353,3.5391,3.3655,23.49,20.8
SKU-0068,total,1.0,20.4781,19.4542,8.0889,8.5917,5.0214,5.1534,18.18,17.96
SKU-0068,hospital,1.0,6.4756,6.1518,2.5723,2.7161,1.7067,1.6214,20.04,17.72
SKU-0068,chain,1.0,8.542,8.1149,3.1087,3.2955,2.036,1.9068,19.75,17.25
SKU-0068,independent,1.0,5.4605,5.1875,2.4913,2.6528,1.697,1.8261,21.54,22.82
SKU-0069,total,1.0,5.5955,5.3158,2.3712,2.3627,1.9981,1.8788,40.23,36.09
SKU-0069,hospital,0.99,1.4547,1.382,0.6795,0.675,0.5892,0.5582,42.6,38.36
SKU-0069,chain,0.99,2.6429,2.5108,0.9968,0.9909,0.8497,0.7934,31.92,28.22
SKU-0069,independent,1.0,1.4979,1.423,0.7837,0.7851,0.6601,0.6322,45.79,41.64
SKU-0070,total,1.0,35.0687,33.3153,14.8199,15.1181,11.9044,11.1782,32.2,28.52
SKU-0070,hospital,1.0,14.983,14.2338,6.3682,6.5035,5.0707,4.7716,32.13,28.53
SKU-0070,chain,1.0,10.4911,9.9665,4.3155,4.3601,3.6666,3.4373,36.0,32.02
SKU-0070,independent,1.0,9.5947,9.1149,4.2107,4.3248,3.1757,2.973,29.71,26.11
SKU-0072,total,1.0,2.6506,2.5181,1.3198,1.3809,0.9078,0.9736,26.31,27.48
SKU-0072,hospital,0.988,1.0052,0.9549,0.4113,0.4299,0.1626,0.2029,7.66,11.43
SKU-0072,chain,0.988,1.0321,0.9805,0.552,0.5744,0.2901,0.2923,14.51,14.16
SKU-0072,independent,0.76,0.5736,0.5449,0.5763,0.5892,0.5238,0.5387,44.98,47.73
SKU-0073,total,1.0,28.1567,26.7489,8.0394,7.5488,7.5639,6.9258,35.29,31.26
SKU-0073,hospital,1.0,11.257,10.6941,3.3469,3.1378,3.1524,2.8974,38.44,34.25
SKU-0073,chain,1.0,10.9856,10.4364,3.1351,2.94,2.9354,2.6884,36.02,31.97
SKU-0073,independent,1.0,5.9141,5.6184,1.6215,1.5405,1.4769,1.3439,30.79,27.0
SKU-0074,total,1.0,14.3351,13.6183,7.3758,7.5506,5.7274,5.4716,35.47,31.92
SKU-0074,hospital,1.0,5.2704,5.0069,2.8069,2.8644,2.222,2.1209,38.95,35.08
SKU-0074,chain,1.0,5.2368,4.9749,2.7155,2.7722,2.1519,2.0528,38.13,34.33
SKU-0074,independent,1.0,3.8279,3.6365,1.908,1.9679,1.4139,1.4065,30.79,29.05
SKU-0076,total,1.0,28.3209,26.9049,11.6116,12.1178,8.1759,7.7694,23.1,20.51
SKU-0076,hospital,1.0,7.1465,6.7891,2.919,3.0546,1.9958,1.9884,21.93,20.77
SKU-0076,chain,1.0,12.1335,11.5268,4.9884,5.2072,3.4774,3.3898,23.14,21.27
SKU-0076,independent,1.0,9.041,8.589,3.7429,3.8933,2.7086,2.5759,24.42,21.73
SKU-0077,total,1.0,15.5965,14.8167,6.0023,6.0551,4.9018,4.5461,31.34,27.49
SKU-0077,hospital,1.0,5.218,4.9571,2.0317,2.0413,1.6931,1.5733,34.29,30.29
SKU-0077,chain,1.0,6.4149,6.0941,2.4168,2.4328,1.9969,1.8465,30.8,26.91
SKU-0077,independent,1.0,3.9636,3.7654,1.6142,1.6399,1.2264,1.2033,30.33,28.23
SKU-0078,total,1.0,40.0686,38.0651,10.9145,10.8565,9.5775,8.8452,26.74,23.58
SKU-0078,hospital,1.0,12.5123,11.8867,3.4595,3.4504,3.0084,2.7855,26.91,23.79
SKU-0078,chain,1.0,15.806,15.0157,4.3352,4.3108,3.8142,3.5232,26.97,23.78
SKU-0078,independent,1.0,11.7502,11.1627,3.1618,3.1374,2.7753,2.5476,26.72,23.45
SKU-0079,total,1.0,45.8538,43.5611,17.2162,18.1785,11.7371,11.6877,21.27,20.12
SKU-0079,hospital,1.0,18.0762,17.1724,6.8038,7.1871,4.6359,4.6086,21.38,20.17
SKU-0079,chain,1.0,16.3275,15.5112,6.0817,6.4225,4.1556,4.159,21.1,20.09
SKU-0079,independent,1.0,11.45,10.8775,4.3603,4.597,3.0244,2.9687,22.19,20.61
SKU-0080,total,1.0,3.5053,3.3301,1.0446,1.0583,0.7834,0.7039,22.6,19.2
SKU-0080,hospital,0.986,1.2148,1.1541,0.398,0.3926,0.3212,0.2803,24.41,19.84
SKU-0080,chain,0.986,1.2618,1.1987,0.6422,0.6521,0.4772,0.4486,30.6,26.84
SKU-0080,independent,1.0,1.0288,0.9773,0.1382,0.1441,0.047,0.0421,3.76,3.21
SKU-0082,total,1.0,64.6021,61.372,23.2817,23.467,20.4842,19.2499,33.98,30.37
SKU-0082,hospital,1.0,25.3435,24.0763,9.1794,9.2569,8.0641,7.581,33.92,30.32
SKU-0082,chain,1.0,20.5272,19.5008,7.3917,7.4408,6.5301,6.1398,34.61,30.98
SKU-0082,independent,1.0,18.7315,17.7949,6.7327,6.7913,5.8995,5.5307,33.63,29.98
SKU-0083,total,1.0,25.2009,23.9408,7.8714,8.0695,6.2821,5.8502,25.6,22.6
SKU-0083,hospital,1.0,7.6318,7.2502,2.5354,2.5869,2.0425,1.9138,27.72,24.65
SKU-0083,chain,1.0,8.8183,8.3773,2.9067,2.965,2.336,2.1873,28.22,25.13
SKU-0083,independent,1.0,8.7508,8.3132,2.5293,2.6174,1.9228,1.76,22.51,19.53
SKU-0084,total,1.0,19.9352,18.9384,7.2706,7.4123,5.8917,5.4824,28.88,25.38
